,sex,age,generation
20731,0,0,2
17368,1,5,5
8897,1,4,5
2101,1,1,4
19884,1,5,5
11749,1,2,0
9193,0,3,4
14523,0,2,0
6192,1,4,5
10244,0,4,5
17346,0,4,5
27044,1,0,4
17738,1,1,2
16557,1,2,2
4046,0,1,2
19444,0,5,1
27553,0,0,4
5085,1,1,2
20209,1,2,2
26560,1,2,0
18665,0,0,2
1517,0,1,0
4694,1,0,2
8665,1,3,4
8545,1,3,3
4977,1,1,0
12194,0,2,0
24199,1,5,1
7357,0,0,4
17510,1,1,0
4560,1,1,0
16204,1,3,2
777,0,1,2
1218,0,2,2
16143,0,3,3
10014,0,5,5
2867,0,0,4
13992,1,0,4
6345,1,5,5
4719,0,2,0
15552,0,5,5
23862,1,3,3
17823,1,2,2
15681,1,4,5
2183,1,2,0
26241,0,5,5
24215,1,5,5
986,1,2,0
2664,0,0,2
23873,0,0,4
16135,1,2,2
3899,1,0,2
23406,0,3,4
3718,1,4,5
3824,1,1,0
25263,0,0,4
22784,1,5,1
6377,0,0,2
25795,1,1,0
20337,0,3,4
17890,1,3,2
845,0,0,4
12970,1,2,0
14493,1,4,5
25789,0,1,0
7790,0,0,2
2951,1,1,0
6605,0,1,4
3874,0,1,0
22964,1,4,5
7241,1,2,0
15890,0,5,1
21753,1,2,0
23638,1,1,0
16377,0,0,4
13765,0,5,1
2969,0,5,1
11635,1,0,4
11515,1,0,4
13453,1,1,0
16505,1,3,3
1989,1,3,4
3653,0,0,4
8098,0,2,0
7950,1,0,4
10120,1,2,0
12082,1,2,5
12884,1,5,1
18842,1,1,4
8091,1,4,5
482,0,2,0
16085,1,3,3
21864,0,2,2
18620,1,2,5
4889,0,0,4
2547,0,5,5
1778,1,0,4
24584,1,5,5
10355,0,0,4
5786,0,1,2
10891,0,4,5
3914,0,2,0
19236,1,2,0
1557,0,3,4
1863,1,0,2
953,0,0,4
17919,1,1,0
26733,0,2,0
3482,0,2,5
3673,0,2,0
27442,0,2,0
18456,1,5,5
615,0,5,1
14673,1,1,2
18515,1,3,3
18786,0,4,5
20080,0,0,4
9540,0,3,4
8950,0,4,5
1329,1,5,5
2676,0,4,5
4289,0,1,0
14544,1,0,2
3253,0,4,5
11692,1,5,1
8071,1,4,1
5404,0,1,2
2115,1,0,4
12283,1,3,4
4202,0,5,1
24683,1,1,4
4277,0,1,0
22235,1,2,0
11202,0,5,1
7836,0,3,4
17774,1,1,4
12652,0,1,2
18800,0,3,3
12397,0,2,2
14937,1,2,0
9837,0,2,0
8611,0,1,2
2706,1,4,5
15884,1,2,0
7703,0,4,1
16048,1,1,2
17575,0,2,0
14834,0,2,0
25305,1,1,4
25946,1,3,4
2609,1,1,4
1439,1,1,0
26362,0,4,0
11454,0,2,0
25479,1,3,4
5850,1,3,4
10077,0,1,0
15076,0,1,2
22097,0,0,4
538,1,4,5
24414,1,3,2
874,1,3,3
9282,0,5,5
27512,1,0,4
17145,0,2,0
15199,1,3,3
14768,1,2,2
4140,1,3,3
14750,0,0,4
20213,0,1,4
18535,0,2,2
15919,0,5,1
4956,1,2,5
13981,0,5,5
20838,0,1,2
8646,1,0,4
26207,0,2,0
15652,1,1,4
142,0,3,4
12698,0,4,5
3901,0,0,2
16854,1,2,0
16093,0,1,2
21433,0,0,2
22410,0,3,2
9445,0,3,3
27224,0,4,1
17856,1,5,5
11926,1,0,4
14609,0,1,2
6923,0,4,5
11096,0,1,0
10921,1,0,4
20199,1,4,0
5893,0,0,4
3829,0,2,5
25973,1,1,2
15947,1,2,0
22711,0,3,3
21820,0,4,5
17400,1,3,3
27761,1,1,2
24744,0,4,5
5305,0,0,2
20329,0,5,1
7440,1,3,4
20783,1,2,0
7645,0,3,3
18013,1,0,2
27081,0,2,0
12931,0,3,4
10106,1,5,1
15530,1,3,4
26693,1,2,0
7704,1,3,2
24630,0,3,3
16826,0,5,5
21274,0,2,0
14312,1,2,0
27531,1,3,3
20549,0,2,2
6198,0,3,4
6983,1,2,0
7431,1,4,5
18332,0,1,2
25458,1,4,5
11465,0,4,5
23404,0,2,0
3919,1,5,1
26389,0,0,4
23594,1,0,2
2985,1,0,2
4464,1,0,4
20286,0,2,5
9211,0,4,5
5007,0,1,0
9872,0,4,5
6795,0,1,2
22075,0,3,4
757,1,4,5
3010,0,0,2
24531,0,5,1
11613,0,0,4
13875,0,4,5
25262,0,1,4
6310,1,4,5
10849,1,1,2
21280,1,2,0
1758,0,1,4
7573,1,3,4
17067,1,4,1
27612,0,1,0
8690,1,1,2
13676,1,4,0
18908,0,4,5
21492,1,0,4
8377,0,3,4
27724,1,2,0
368,1,2,0
8562,0,5,5
7636,1,4,0
22208,1,2,5
23308,0,4,5
16356,0,2,0
1118,1,2,0
27298,0,4,5
6373,1,0,2
5256,1,0,4
18028,1,5,1
3582,1,3,4
621,0,0,2
23720,1,5,5
9347,0,0,4
6242,0,0,4
7820,0,1,2
26787,1,3,3
27088,1,5,5
20593,1,2,2
19407,1,1,0
27643,1,5,1
7566,0,4,5
22702,1,2,2
11586,0,4,5
15878,0,4,1
16158,1,5,5
5134,1,5,5
17629,1,0,2
21485,0,5,5
23279,1,1,4
9973,0,3,3
4390,1,2,0
23359,0,5,5
15807,1,2,2
3693,1,2,0
5838,0,5,5
7937,1,2,0
10888,1,0,4
1684,0,4,5
9754,0,1,0
4633,0,4,5
1995,0,5,5
22525,0,2,0
3744,0,2,2
275,1,5,1
2141,0,2,2
16384,0,3,4
5575,0,3,3
17998,1,3,4
22951,1,5,5
8083,1,2,0
254,1,1,2
17380,1,4,0
14879,1,1,2
26799,0,3,3
20795,1,2,0
1854,0,1,0
20152,0,0,4
7741,1,3,2
4086,1,3,3
26839,1,5,5
22366,1,0,4
23057,0,0,2
1201,1,2,2
14811,0,4,5
12457,0,4,1
25613,1,5,5
4827,0,2,0
20517,1,3,3
19414,0,3,2
24157,0,1,2
17704,1,5,5
2159,1,4,0
19286,1,5,5
16933,1,3,3
14266,0,2,0
27452,1,0,4
2222,0,1,0
24433,0,5,1
20465,0,1,2
4306,1,2,0
16298,0,2,0
21776,1,1,2
12625,0,5,5
5610,1,3,3
2015,1,4,5
24525,1,4,5
16138,0,2,2
515,1,5,5
4561,0,4,1
17184,1,3,4
23501,0,2,2
25943,0,4,5
7226,1,3,4
12545,0,1,2
15050,0,4,5
51,1,1,0
3937,0,0,2
1179,1,2,2
27310,0,4,5
13360,0,0,4
4017,1,0,4
19308,1,4,0
16763,0,2,0
10171,0,5,1
27066,1,4,5
18142,1,3,3
26409,1,0,4
24575,1,0,4
23424,1,4,5
7574,1,5,5
7935,1,0,4
22146,1,3,3
9529,0,3,4
13150,1,2,2
12887,1,1,0
4527,0,1,4
5654,0,1,0
10329,0,4,5
7534,0,1,2
6271,0,3,4
22853,0,1,2
9591,1,2,0
21940,1,0,2
5750,0,1,0
9466,0,0,2
8054,1,5,5
5285,0,5,1
2149,0,5,5
8143,1,5,1
24071,0,0,2
23602,0,5,1
26535,1,3,2
7880,0,1,2
7448,0,4,5
12191,1,5,1
7145,1,4,5
8028,0,3,3
25137,1,2,0
17322,1,0,4
22629,0,5,5
21650,1,0,2
21226,1,2,2
26695,1,4,5
2498,0,4,5
2993,0,3,4
18393,0,2,0
26562,1,5,1
4494,1,3,3
7789,1,3,4
24362,0,4,0
8894,1,2,0
26871,0,3,2
23696,1,5,1
10028,1,0,2
21688,0,4,5
10370,1,5,5
15157,0,5,5
15663,0,2,2
18499,0,2,2
11241,0,4,5
3855,0,5,1
12911,1,1,2
11565,0,0,4
14198,0,3,2
17295,1,2,0
20674,1,2,0
3348,1,0,4
4042,1,0,4
21422,0,2,0
3848,1,4,1
25346,1,3,2
4197,1,4,1
16767,0,3,4
27367,1,1,2
10093,0,3,2
11809,1,4,5
13322,1,0,4
592,1,1,0
5975,1,1,4
20215,0,3,3
6399,0,2,0
24302,0,0,4
24248,1,1,2
1836,1,2,5
2981,1,0,2
11024,0,4,0
2646,1,4,1
26612,1,0,2
15468,0,4,5
9083,0,0,4
