,suicides_per_100k
9767,3.7
4282,9.31
5906,2.89
25481,29.7
22367,7.29
10694,0.0
26079,0.25
7269,15.05
1682,15.44
245,0.0
299,0.0
14649,26.3
23637,20.65
97,13.5
2087,34.24
1951,5.08
6260,22.7
19736,1.76
2328,2.06
26817,5.08
18562,0.0
6062,3.44
20877,0.29
10655,0.0
25816,18.49
12060,7.66
17155,10.38
6757,9.01
18446,16.03
1412,0.0
9523,5.68
25962,14.61
6418,41.09
22123,0.0
17725,26.39
5915,11.24
19153,34.92
23622,0.23
19837,23.26
10338,3.34
18433,13.43
26349,15.02
20769,0.84
5394,0.72
27553,6.66
8386,7.39
10965,0.62
5821,6.68
1782,6.3
14879,44.77
5916,9.34
2317,1.13
2346,0.13
10564,14.02
24114,2.67
22740,11.36
27655,11.68
26965,3.72
24355,0.0
105,1.66
22053,49.41
14673,26.0
3811,0.31
7169,32.82
2612,6.11
26980,46.54
4549,16.81
21531,0.0
6421,25.02
3516,17.42
26427,0.0
13088,25.75
24957,11.88
24093,23.53
19795,2.17
24100,0.0
11216,11.63
4257,10.9
12589,10.55
15491,11.95
6266,3.21
22397,0.0
3020,19.07
25308,3.67
26529,6.77
5678,2.24
176,3.41
12095,15.05
20174,2.63
15729,0.0
12142,21.72
3489,38.64
1821,0.43
4490,2.69
7733,10.16
357,0.0
24482,11.98
6966,7.71
21114,3.41
4200,5.05
3573,38.86
17634,5.74
22748,43.81
11440,37.51
27642,17.02
23365,0.54
19744,10.4
11657,13.4
18329,3.32
18299,0.0
24477,28.34
13260,0.0
1580,0.55
16111,19.58
19344,37.69
2722,5.58
18804,13.47
11416,36.91
5283,2.55
25682,0.37
13092,4.62
16779,0.56
10673,0.0
23541,21.3
4858,19.07
23729,1.44
2949,20.83
24489,28.38
6881,0.32
4020,2.75
10104,0.55
8687,0.0
17916,34.17
17954,25.11
18338,12.87
25817,16.43
1274,0.0
4320,6.67
18632,1.13
24721,9.46
14725,9.34
23601,21.11
8892,0.32
18032,7.01
13640,48.74
24993,9.6
4184,12.5
16199,2.19
4242,0.19
8655,8.71
26036,2.87
26903,5.94
25482,23.99
12585,15.22
7967,2.7
18777,1.27
21558,0.0
5993,0.9
2229,2.66
21358,18.17
12055,0.0
2973,17.39
2166,4.51
17579,0.75
12350,6.34
9503,0.54
10518,0.0
16212,10.76
12822,0.29
22864,2.59
814,1.05
11029,6.98
23628,9.8
25675,3.5
14168,0.0
1975,5.51
20896,5.46
14338,3.71
26855,6.24
21606,0.0
12403,0.0
15622,10.67
17281,0.21
4236,5.02
406,0.0
12501,26.69
11542,0.9
19917,0.35
17568,44.1
326,0.0
4741,12.25
25284,4.33
243,0.0
16658,0.38
1203,4.48
9025,0.0
7586,41.94
19200,42.54
14029,14.44
1469,7.78
11765,0.0
25949,25.96
7865,9.36
21286,0.0
27505,4.34
6128,17.11
21527,0.0
12496,2.56
21870,0.0
4232,21.92
19354,0.61
17178,9.41
9779,3.92
13690,37.03
12789,26.18
7500,0.3
18543,8.03
10467,7.79
26423,0.31
22576,5.52
18695,0.0
9570,3.7
22651,0.0
16439,14.78
21443,13.85
11667,23.03
187,4.83
19086,7.18
27192,4.49
15520,0.0
6509,1.98
14697,22.35
24550,25.34
23759,11.2
12896,43.98
13070,4.43
12985,6.03
5772,6.91
23521,0.67
24928,0.49
6942,3.31
210,0.0
17259,18.21
12165,22.68
13621,18.18
21738,0.0
13408,9.28
14945,3.6
5364,9.54
23971,2.0
13184,3.77
7129,2.79
25660,5.23
2204,7.71
16508,15.54
3458,20.64
18757,8.84
543,0.0
15074,22.77
7539,22.99
11289,10.27
3068,7.79
27370,7.27
11077,32.76
2288,2.64
23260,5.73
22057,16.87
24313,37.41
19502,8.79
22551,7.0
5597,2.33
14774,5.28
22910,6.15
9002,40.43
21159,9.72
15759,0.0
2206,4.16
9344,12.97
697,23.22
12346,24.1
18819,8.84
27288,3.57
18050,22.39
10101,2.16
17367,18.71
7779,10.92
1251,2.47
17078,42.81
7263,0.55
12417,19.27
2883,0.0
25214,2.66
6799,36.33
15013,8.58
3657,44.47
11661,2.72
5358,0.24
10001,14.48
6408,27.14
8596,29.93
25455,0.0
19133,7.98
1148,1.04
13513,17.52
23766,0.53
23141,4.91
20294,11.55
22386,0.0
13646,16.59
18831,6.89
24326,15.29
18084,21.91
20952,33.17
2169,3.59
10611,0.0
23342,0.38
4485,11.8
19322,33.0
2376,0.0
25031,7.76
26442,2.06
19073,8.12
25604,14.33
16094,0.0
27021,6.54
19334,30.17
2695,0.0
2944,0.0
22489,13.22
22656,14.26
1496,0.39
19605,1.19
13863,12.29
17975,0.76
10236,0.0
12720,10.49
5789,0.82
21807,0.0
4036,0.0
20959,0.47
23385,2.24
4996,4.03
2226,0.0
21955,0.0
11079,24.37
9521,6.81
20393,12.16
11117,15.49
22193,0.0
2168,6.98
15798,3.32
18221,11.39
13938,5.51
22011,11.27
4120,0.0
14834,17.7
18732,7.37
23042,21.79
653,7.67
14399,1.72
11429,27.81
8149,0.15
15324,10.79
15764,2.56
2189,0.86
3666,1.27
24378,0.39
15645,11.58
1620,26.28
10885,4.86
17883,29.14
13139,8.59
15345,27.4
12942,0.22
19949,3.99
12449,1.92
6937,0.0
1704,21.44
16542,20.53
19265,6.47
19099,7.61
3933,23.27
3165,0.0
22724,36.02
6076,1.68
18178,1.34
2305,6.63
23174,15.73
18797,5.38
2796,3.43
161,5.07
24523,0.0
2436,0.0
4798,20.99
26255,9.19
19045,5.51
21378,0.0
16272,11.81
25009,4.32
6915,2.44
18100,17.23
24509,5.48
22084,4.35
12087,5.73
23964,42.37
17696,6.55
180,11.26
10659,0.0
22582,23.21
20850,2.61
24896,25.82
2051,34.1
25352,16.48
12529,11.64
7425,10.25
23437,0.7
9361,0.16
16064,10.12
22717,6.69
17575,7.37
22217,0.0
13911,11.15
24072,23.13
