,sex,age,generation,incomelevel
7506,0,1,0,1
12698,0,1,2,0
23853,1,4,5,0
445,0,1,2,0
6378,1,1,4,2
1787,1,3,2,0
16025,0,4,1,0
15768,0,3,4,0
14660,0,4,5,0
24488,0,5,5,1
15210,0,4,5,2
9990,1,2,2,2
989,0,5,1,2
12668,0,0,2,0
6289,0,5,5,2
9751,1,0,2,2
1418,0,2,5,0
1257,0,4,5,0
20218,1,1,2,0
17181,0,3,4,2
4396,0,0,4,2
19897,0,4,5,0
5031,0,4,5,0
7108,0,4,0,0
23424,0,1,2,0
17498,1,2,0,1
6264,0,3,4,2
22105,1,4,5,2
4597,0,4,5,0
17130,0,1,0,2
16114,1,1,2,0
15774,0,4,5,0
14147,0,5,5,0
2356,1,1,2,0
12667,0,1,2,0
23209,0,0,4,1
16715,1,2,2,0
11184,1,4,0,0
14884,1,4,5,2
23969,1,3,3,0
19642,1,2,0,0
15769,1,5,1,0
23377,0,1,0,0
2403,0,3,4,0
6654,1,1,2,0
2495,1,4,5,0
8810,0,1,2,2
5888,1,1,4,2
10254,0,4,5,2
9913,0,2,2,2
3635,1,1,2,1
1034,0,3,4,2
14296,0,0,4,2
15496,1,1,2,2
4374,0,0,4,2
15712,1,1,0,0
4377,1,4,5,2
18011,0,0,2,0
19937,1,4,5,0
11592,0,4,1,0
22678,1,0,2,2
4882,1,0,2,0
21285,0,4,1,0
16874,1,0,2,2
20552,1,3,2,0
4759,1,4,0,0
16561,1,2,0,0
226,1,3,3,2
17034,0,1,2,2
5045,0,3,4,0
5256,0,1,0,2
10922,1,1,0,0
6522,1,2,2,0
3171,1,3,4,0
17511,0,5,5,1
5566,1,4,1,2
8872,1,3,4,2
13137,1,3,4,1
3412,1,5,1,1
2581,1,3,2,0
22949,1,2,5,1
20934,0,0,2,1
3612,1,0,4,1
21733,1,2,0,0
15214,0,3,4,2
24398,1,4,5,1
4269,1,2,0,2
7931,0,1,2,0
6582,0,1,0,0
7833,0,0,2,0
7466,1,1,4,2
1085,1,4,5,2
16714,1,5,5,0
10549,1,4,5,2
6212,1,1,2,2
21684,0,0,2,0
15409,1,0,4,2
7158,0,1,0,2
5534,0,5,5,2
1177,0,2,2,2
15143,1,5,1,2
144,1,1,2,2
3554,1,2,0,1
7281,0,4,5,2
3770,0,5,1,2
18992,1,2,2,2
11661,1,2,0,0
5606,0,4,1,2
6546,0,4,0,0
9914,0,3,3,2
24160,0,0,2,0
2937,0,5,1,2
12395,0,3,4,2
11383,1,3,4,0
17235,0,2,0,2
12931,0,2,0,2
5067,0,5,5,0
6520,1,4,0,0
7420,1,2,0,2
7784,0,4,0,1
12393,0,1,0,2
23462,0,0,2,0
17564,1,3,3,1
19430,0,4,5,2
1703,1,0,4,0
20030,1,2,2,0
21752,0,3,4,0
12532,0,3,2,0
23165,0,0,4,1
23293,0,1,0,0
17459,1,1,2,1
8503,0,5,1,0
13036,0,0,4,2
20670,0,0,2,0
1578,0,3,4,0
8223,0,3,4,0
4983,0,5,1,0
13010,0,1,2,2
23380,0,3,4,0
18197,1,2,5,0
7953,0,2,2,0
21532,0,4,5,0
17381,0,2,2,2
15601,1,5,1,0
14025,0,4,5,0
16886,1,2,0,2
18549,0,3,3,0
19463,1,1,2,2
9788,1,2,0,2
12714,1,1,2,0
16305,1,3,3,0
19930,1,0,4,0
7864,0,5,5,0
10461,0,5,1,2
24185,1,1,2,0
6899,1,1,2,0
265,0,1,0,0
17434,1,5,1,1
14407,1,2,5,0
4362,0,1,2,2
6149,0,5,1,2
5588,1,2,5,2
16104,1,5,1,0
3501,0,3,4,1
15160,0,2,5,2
9023,0,2,5,0
10742,0,0,4,0
21448,0,2,0,0
18644,1,5,5,0
18647,1,1,2,0
19423,0,1,2,2
13041,0,3,3,2
24526,0,4,5,1
15515,0,2,0,2
4159,1,2,5,2
12618,0,5,1,0
19291,0,1,4,2
7354,0,4,5,2
5224,0,4,1,2
2910,1,3,4,2
18143,0,5,5,0
10733,0,0,4,0
7492,1,2,2,2
5823,0,1,2,2
22985,0,0,2,1
8466,0,3,2,0
23731,0,0,2,0
21119,0,1,2,2
11437,0,2,0,0
23196,0,4,0,1
9631,0,0,4,0
18479,1,4,5,0
16399,0,3,3,1
13589,1,1,2,0
19879,0,3,4,0
15203,1,5,1,2
10572,0,1,2,2
17443,0,2,0,1
15629,0,4,1,0
14889,0,2,0,2
24034,1,0,2,0
20426,1,4,5,2
6069,0,2,2,0
20824,0,2,2,0
24279,0,3,3,0
11088,1,0,4,0
1074,0,5,1,2
12896,0,5,1,2
11854,1,2,0,0
1881,1,2,0,0
23883,0,5,5,0
4386,1,3,3,2
20860,0,2,2,0
20041,0,5,5,0
7754,1,2,2,1
23606,0,5,5,0
661,0,2,0,2
16709,0,1,4,0
22884,0,2,2,2
4571,0,2,0,0
15656,1,0,2,0
11926,1,1,4,0
8286,0,2,0,0
22084,1,0,4,2
784,0,3,4,2
6295,0,0,4,2
22448,1,4,5,0
12382,0,1,0,2
14850,1,0,2,2
23328,0,2,5,0
17967,1,3,4,0
12389,1,4,1,2
18061,1,3,4,0
22241,0,0,2,0
3430,0,3,4,1
4170,1,2,0,2
314,0,2,5,0
3700,1,0,4,1
22974,0,2,5,1
21190,0,0,4,2
4347,1,1,2,2
23691,1,1,0,0
21187,0,5,5,2
1818,0,3,2,0
1484,1,1,0,0
23511,0,3,4,0
21987,1,4,5,2
7783,0,2,2,1
22439,0,0,4,0
14024,1,1,2,0
9931,1,1,4,2
2463,0,0,4,0
17678,1,0,2,0
17155,0,2,5,2
