,sex,age,generation,incomelevel,depression,alcohol
20486,1,5,1,1,2.956909,2.408979
4021,0,1,2,0,4.299501,2.569807
11892,0,4,5,2,3.41267,0.737572
13913,1,0,4,0,3.684437,1.505516
1907,1,2,0,0,4.312985,0.740016
13174,0,5,1,0,4.14939,0.81184
6664,1,1,2,0,4.358236,4.985187
11807,1,4,5,0,3.642918,1.383839
20105,0,2,2,0,4.762322,1.999569
1804,0,0,2,2,2.545394,2.149846
16729,0,2,0,0,3.422751,0.47119
16236,1,0,4,2,2.644229,1.974473
7044,0,3,4,0,5.164113,2.87308
17684,0,0,4,2,3.927429,1.746651
19657,0,1,2,0,4.24282,1.58265
11962,1,0,4,2,3.294376,0.761604
2040,1,4,5,0,3.979913,0.744554
13072,1,1,2,2,2.587371,1.840735
7545,1,3,4,2,2.757046,1.893981
5730,1,4,0,0,2.706139,2.134149
20422,0,3,2,1,2.952192,2.292711
234,0,5,1,0,2.583357,2.083017
8084,1,5,1,0,3.975901,1.059136
15326,1,3,3,0,4.675021,1.287392
13163,1,0,2,0,4.175035,0.810089
5417,1,2,2,0,3.27735,1.111439
17632,1,3,4,2,3.842142,1.724891
20561,0,1,2,1,2.934647,2.311335
8619,0,5,1,2,3.213616,3.375219
17549,0,5,1,2,3.650848,1.665205
6098,1,2,0,2,2.883428,1.931684
356,1,2,0,0,2.573913,2.080573
13747,1,2,2,1,2.853856,2.061747
282,1,0,2,0,2.552411,2.103513
10949,1,0,2,2,3.447594,2.387944
6266,1,1,2,2,2.958661,1.813414
19345,1,3,4,1,4.4786,5.17397
15120,0,3,4,0,4.716369,1.168727
13812,0,5,1,0,3.974874,1.731578
6977,1,3,4,0,5.45805,2.733953
20348,1,0,4,0,3.514906,1.122794
15960,1,1,2,2,2.351199,1.857539
4712,1,1,2,2,2.852831,1.429179
795,0,0,4,2,3.657683,1.822172
13549,0,5,5,0,4.125419,1.447662
3921,1,1,0,0,4.401109,2.221128
9950,0,1,2,0,4.205758,0.548053
3087,1,3,4,2,3.544956,2.463527
12420,0,0,2,2,3.681982,1.252934
1833,0,3,4,2,2.546409,2.149821
11992,1,3,3,2,3.224627,0.796288
176,1,2,0,2,2.222417,1.737167
17475,1,1,4,0,3.49155,0.898279
3434,1,0,2,2,2.758974,1.806055
4460,1,0,4,2,2.228705,1.74852
377,0,3,4,0,2.574414,2.094256
4468,0,5,5,2,2.228705,1.74852
20502,0,1,2,1,2.954412,2.394409
14660,1,2,0,1,2.794866,0.983473
17568,0,2,0,2,3.715075,1.686619
9524,0,3,3,0,3.361856,1.218249
7682,1,1,4,2,2.787449,2.047773
9458,1,1,2,0,3.367176,1.205389
8650,0,0,2,2,3.279665,3.33331
18248,0,1,2,0,3.826025,1.40029
7290,1,1,2,0,4.424647,1.39872
8692,1,2,0,2,3.392958,3.2141
1548,0,3,4,0,3.402713,1.923677
15053,1,2,2,0,2.2738,2.02574
3867,0,5,5,0,3.911885,1.589404
19312,0,5,1,1,4.410799,5.183603
16852,1,1,2,0,3.067843,2.213872
3415,0,0,2,2,2.788651,1.848767
13268,1,4,5,0,4.046277,0.722001
10062,1,3,4,0,4.151368,0.537625
7668,1,5,5,2,2.786203,2.040247
13287,0,0,4,0,4.042501,0.721191
545,0,2,0,2,3.606913,2.246206
10256,1,4,5,0,3.498997,0.447723
2092,0,3,3,0,3.906875,0.734987
14010,1,1,4,0,3.589313,1.431651
5780,0,4,0,0,2.685547,2.122513
10339,1,5,5,0,3.403169,0.450926
10231,1,5,1,0,3.530343,0.44694
4995,1,4,0,0,2.790946,2.0944
17659,1,5,5,2,3.889723,1.736119
5077,0,3,4,2,4.102805,1.566299
3293,1,5,5,2,3.408068,2.706707
4915,0,2,0,0,2.918731,1.977219
15885,1,2,0,2,2.372942,2.039545
7987,0,3,3,0,3.930375,2.042078
13353,1,1,4,0,4.030876,0.737441
9033,0,1,2,2,4.007554,1.963466
7628,0,3,4,2,2.784744,1.900684
19659,1,3,4,0,4.24282,1.58265
5323,0,4,5,0,3.319096,1.06261
