,country,year,sex,age,generation,incomelevel,depression,alcohol
1123,4,1991,0,3,4,0,4.671933,1.392997
10336,40,2003,0,0,4,0,3.418576,0.45059
13269,54,2006,1,1,2,0,4.046277,0.722001
9262,37,1991,0,1,0,0,3.592401,1.169433
8675,34,1995,0,2,0,2,3.324058,3.291172
14108,59,1996,1,0,2,2,2.659093,1.317554
8307,32,2013,0,2,2,0,4.272856,1.135179
3896,15,2013,1,4,0,0,3.926503,1.599727
8050,32,1992,1,2,0,0,3.999921,1.050586
12210,49,2006,1,3,4,0,3.379254,1.064111
6195,24,2002,1,2,0,2,2.929883,1.851213
4295,17,1996,0,0,2,2,2.339456,1.524376
9191,36,2011,1,3,3,0,2.761039,2.187616
14617,60,2014,0,3,3,2,2.946082,2.347036
19382,81,2006,0,3,4,1,4.373125,4.938663
10168,39,2015,0,0,4,0,3.92133,0.503205
13159,54,1997,1,2,0,0,4.175035,0.810089
15105,63,1991,0,2,0,0,4.729642,1.164669
6173,24,2000,0,0,2,2,2.913822,1.871933
3041,13,1991,1,5,1,2,3.529751,2.422741
13017,53,2004,1,1,2,2,2.58424,1.762011
9464,37,2008,0,3,3,0,3.367176,1.205389
8429,33,2001,1,4,5,2,2.799277,1.646062
6933,28,1993,0,2,0,0,5.504764,2.489465
6000,23,2012,1,5,5,0,3.275031,1.789299
13132,54,1994,1,3,4,0,4.204405,0.800726
14916,62,2001,0,1,2,0,2.319913,1.920361
17090,71,2008,1,1,2,2,3.725575,1.630654
8557,33,2012,0,5,5,2,2.777003,1.719291
12515,50,2006,1,4,5,2,3.609756,1.222068
20251,85,2000,1,0,2,0,3.408121,1.012618
8613,34,1990,0,2,5,2,3.213616,3.375219
2682,10,2013,1,0,4,0,4.110062,1.450025
6259,24,2007,1,3,3,2,2.959376,1.817016
18261,76,2009,1,3,3,0,3.802627,1.390568
19149,80,2004,0,4,5,2,2.881919,2.708463
10671,42,1994,1,4,5,0,3.063447,0.559626
11295,45,2000,1,2,0,0,3.547975,0.67176
1397,4,2015,0,5,5,0,4.696774,1.510434
9522,37,2013,0,4,0,0,3.361856,1.218249
936,3,2001,0,5,5,2,2.65792,2.051013
13238,54,2003,0,1,2,0,4.058864,0.75705
716,2,2008,1,3,3,2,3.649862,1.980933
14752,61,2008,1,5,5,1,2.718874,0.887098
17732,74,2009,1,3,3,2,4.019964,1.770043
5899,23,2003,0,4,5,0,3.407564,1.747133
12390,50,1995,1,3,4,2,3.658729,1.293717
4061,16,2002,0,3,4,0,4.258413,2.610887
19252,80,2013,1,5,5,2,2.820571,2.799165
9536,37,2014,1,3,3,0,3.361046,1.224274
435,1,2009,0,3,3,0,2.541514,2.107696
9459,37,2008,1,0,4,0,3.367176,1.205389
5206,20,2005,1,3,4,2,3.515118,1.663283
3769,15,2002,0,4,5,0,4.085414,1.560563
6771,26,2013,1,1,4,0,3.926684,4.958878
17017,71,2002,1,2,0,2,3.724658,1.598237
13681,55,2013,0,5,5,0,3.969718,1.956453
11686,47,1998,1,1,2,0,3.930376,1.44319
11113,44,1994,0,0,2,1,3.271229,1.029112
6409,25,1995,1,5,1,1,3.165224,3.213592
20657,86,2013,0,1,4,1,2.882817,1.951835
7242,29,1994,1,3,4,0,4.48833,1.375352
1771,6,1996,0,1,2,2,2.540409,2.182981
14260,59,2009,1,1,2,2,2.654011,1.394363
19813,83,2012,0,5,5,0,4.126116,1.917394
17339,72,2002,0,3,4,0,3.422318,0.836221
8726,34,1999,1,3,4,2,3.466129,3.104749
17981,75,2007,1,2,0,0,4.55514,1.75626
8059,32,1992,0,3,4,0,3.999921,1.050586
12313,49,2015,0,4,0,0,3.347923,1.109213
19601,83,1995,1,1,2,0,4.234785,1.522711
11293,45,2000,1,4,5,0,3.547975,0.67176
19599,83,1994,1,3,4,0,4.237369,1.506031
19503,82,2007,1,3,3,0,2.925635,0.761583
3363,14,1992,0,5,1,2,2.784457,1.871572
16138,66,2016,1,5,5,2,2.350485,1.6943
9628,38,1995,0,5,1,0,4.231725,1.801893
17521,73,2003,1,1,2,1,3.568743,1.092969
3638,15,1991,0,0,2,0,4.097314,1.51866
3905,15,2013,1,3,3,0,3.926503,1.599727
13273,54,2006,0,5,5,0,4.046277,0.722001
16886,70,2010,0,4,5,0,2.960118,2.215589
19734,83,2006,1,1,2,0,4.085044,1.761617
19614,83,1996,1,2,0,0,4.235221,1.537237
3206,13,2004,0,1,2,2,4.102729,2.690265
8683,34,1996,1,4,5,2,3.353594,3.259755
16891,70,2010,0,0,4,0,2.960118,2.215589
12411,50,1997,0,2,0,2,3.672637,1.268984
1656,5,2013,0,0,4,0,3.273578,1.925424
11961,48,2007,0,0,4,2,3.294376,0.761604
5583,22,1997,0,3,4,0,2.895237,1.886068
17014,71,2001,1,3,4,2,3.705861,1.612709
20136,84,2014,1,5,5,0,4.782222,2.011345
19038,80,1995,0,4,5,2,2.917409,2.497426
2884,11,2005,0,5,5,1,2.855411,1.752975
