,suicides_per_100k
1123,14.289194
10336,7.4175105
13269,9.922767
9262,15.684612
8675,2.4417024
14108,4.5696244
8307,5.1096272
3896,12.168753
8050,3.5691934
12210,6.7350883
6195,4.996203
4295,3.58715
9191,25.487068
14617,6.448217
19382,22.470808
10168,4.550184
13159,10.737779
15105,10.010088
6173,4.8067474
3041,3.839685
13017,0.0
9464,12.8016815
8429,0.0
6933,29.466358
6000,12.541411
13132,11.001758
14916,16.131525
17090,1.0096018
8557,2.0958648
12515,10.486083
20251,18.195713
8613,2.056223
2682,18.002785
6259,7.9275217
18261,15.004295
19149,9.308952
10671,17.570131
11295,1.7231305
1397,13.610131
9522,16.308544
936,1.6618123
13238,9.879371
716,8.327544
14752,2.2865503
17732,27.845798
5899,12.517839
12390,14.970975
4061,11.184106
19252,2.1271868
9536,14.451247
435,0.0
9459,12.8016815
5206,13.158879
3769,12.313561
6771,17.53686
17017,0.56454104
13681,12.421999
11686,16.083838
11113,15.415209
6409,12.819461
20657,7.265567
7242,22.196579
1771,1.0347775
14260,5.506277
19813,7.44281
17339,8.571296
8726,2.4598782
17981,13.04878
8059,3.5691934
12313,8.279819
19601,7.881716
11293,1.7231305
19599,8.037096
19503,1.7733644
3363,18.889511
16138,11.73332
9628,12.044592
17521,25.48989
3638,14.151018
3905,12.168753
13273,9.922767
16886,21.28782
19734,7.220036
19614,7.571047
3206,4.7591248
8683,1.7775612
16891,21.28782
12411,12.05891
1656,15.978484
11961,1.6364684
5583,17.023104
17014,0.93236476
20136,14.364077
19038,6.3904457
2884,4.897559
7641,2.5030687
505,6.5860987
10939,22.151669
16654,10.14154
5798,20.492727
16043,12.097601
14435,3.5839741
19549,8.66913
16281,17.379732
17116,0.8510878
8305,5.1096272
2265,0.38548422
13828,12.677783
20350,16.40815
12647,2.6355798
15631,6.338311
10724,26.360422
8034,3.6289904
3153,4.288088
4765,6.7337475
8999,9.104041
3207,4.7591248
9187,25.487068
20528,8.415411
18885,11.235174
9134,27.25586
11618,16.063164
18138,20.38611
10170,4.550184
4559,5.3627987
13414,14.794469
1275,11.212147
17908,14.183612
6572,8.910246
17365,8.250905
18911,2.2754714
16594,10.520833
19587,8.219736
2250,3.5035405
15569,9.470583
8676,2.4417024
2848,6.2462077
17830,16.197502
464,0.0
6344,5.13461
1016,1.9704837
1466,23.739923
11709,15.115905
20506,7.6310015
20563,6.9635124
1910,3.004797
1802,0.7598784
20284,17.450743
1847,1.6809132
20674,7.670198
294,0.0
15840,10.070836
2606,19.422441
11948,0.3460974
14126,5.739824
17509,26.582558
3771,12.313561
10344,7.2488337
13873,14.015283
18743,11.84717
10507,0.12669769
3666,13.756147
5305,13.437018
14267,5.506277
4896,21.073364
6625,8.555393
3517,13.277148
6392,9.12536
13891,13.024592
8166,3.1987653
9254,15.684612
10319,7.46238
4136,13.783236
147,5.0782766
13077,10.346575
16947,0.37857077
11630,17.204302
11854,7.802001
19094,9.512035
14507,4.6620893
9662,14.437231
6581,9.151895
15258,10.194176
11938,0.3564732
1271,11.212147
6052,5.090369
12822,4.418484
12754,3.769033
6877,1.7448376
3261,5.2046685
6348,7.3826766
8217,3.7103686
3835,11.7289
2582,20.176641
5622,16.497116
17351,8.706415
2131,5.8333335
3030,3.6555974
18790,12.055677
19202,3.679367
6696,19.313246
2967,6.0211544
8010,13.174323
17120,0.8510878
9259,15.684612
14157,5.318931
3935,5.426804
11699,17.331451
3359,16.413857
17488,8.156332
1743,0.72072625
17714,25.92107
3266,5.2046685
16318,17.518337
15786,1.7327378
17458,7.985314
5275,13.880462
3369,18.889511
5261,14.525658
6089,6.049439
8659,1.6816846
14709,1.8517874
12320,15.620019
9068,27.66198
6618,9.112228
8115,3.6492057
391,0.0
4706,8.505945
17492,8.156332
7990,13.059236
10333,7.4175105
1451,23.913239
10797,25.16959
6683,21.18751
5199,13.158879
554,7.031335
10997,28.116102
18758,15.126496
8364,0.0
15692,2.1340215
2751,4.6818123
17546,7.456266
17629,11.855709
6242,7.229279
6382,10.356162
20591,5.1736526
3447,16.614548
6527,8.459012
6902,3.41027
12255,7.849115
19431,20.83121
1366,12.073974
6371,12.6592045
14460,3.2331386
15863,13.018829
12209,6.7350883
18415,8.754355
8946,11.877335
6969,27.40919
15519,8.246307
13492,16.38689
1529,20.213032
5853,15.312889
8433,0.0
7115,20.50645
